gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
4,4,2,1949,1949,1,0.0
4,4,2,1953,1953,1,3.0
4,4,2,1964,1964,1,12.0
4,4,2,1982,1982,1,37.0
4,4,2,1990,1990,1,82.0
4,4,2,2000,2000,1,134.0
4,4,2,2007,2007,1,274.0
7,7,2,2000,2000,1,115.0
8,8,2,1982,1982,1,9.0
8,8,2,1990,1990,1,19.0
8,8,2,2005,2005,1,24.0
13,13,2,1980,1980,1,64.0
13,13,2,2004,2004,2,25.92
13,13,2,2006,2006,2,18.7
15,15,2,2010,2010,1,151.0
19,19,2,1964,1964,1,18.0
19,19,2,1975,1975,1,27.0
19,19,2,1982,1982,1,95.0
19,19,2,1994,1994,1,142.0
19,19,2,2004,2004,1,170.0
22,22,2,1964,1964,1,7.0
22,22,2,1990,1990,1,76.0
22,22,2,2008,2008,1,135.0
26,26,2,1987,1987,1,177.0
26,26,2,1998,1998,1,322.0
29,29,2,2011,2011,1,29.0
34,34,2,2008,2008,1,44.0
36,36,2,1964,1964,1,25.0
36,36,2,1982,1982,1,78.0
37,37,2,1996,1996,1,516.0
44,44,2,1990,1990,1,183.0
44,44,2,2009,2009,1,932.0
46,46,2,2000,2000,1,982.0
46,46,2,2011,2011,1,348.0
48,48,2,1990,1990,1,432.0
48,48,2,2007,2007,1,259.0
49,49,2,2007,2007,1,240.0
52,52,2,1980,1980,1,23.0
52,52,2,1990,1990,1,9.0
52,52,2,2000,2000,1,59.0
52,52,2,1980,1980,2,2.75
54,54,2,1964,1964,1,2.0
54,54,2,1982,1982,1,64.0
54,54,2,2010,2010,1,65.0
56,56,2,2000,2000,1,395.0
57,57,2,1982,1982,1,2.0
57,57,2,1990,1990,1,4.0
57,57,2,2000,2000,1,57.0
57,57,2,2000,2000,2,7.36
59,59,2,1964,1964,1,36.0
59,59,2,1982,1982,1,136.0
59,59,2,1990,1990,1,145.0
61,61,2,2010,2010,1,120.0
61,61,2,2011,2011,1,215.0
61,61,2,2010,2010,2,24.8
62,62,2,2003,2003,1,462.0
63,63,2,2008,2008,1,200.0
64,64,2,1982,1982,1,96.0
64,64,2,2007,2007,1,397.0
70,70,2,1990,1990,1,18.0
70,70,2,2000,2000,1,42.0
71,71,2,1982,1982,1,108.0
71,71,2,1990,1990,1,127.0
71,71,2,2000,2000,1,151.0
71,71,2,2010,2010,1,174.0
71,71,2,1982,1982,2,9.95
71,71,2,1990,1990,2,9.42
71,71,2,2000,2000,2,10.54
71,71,2,2010,2010,2,16.49
72,72,2,1986,1986,1,555.0
72,72,2,1987,1987,1,457.0
72,72,2,1989,1989,1,446.0
72,72,2,1990,1990,1,456.0
72,72,2,1991,1991,1,476.0
72,72,2,1992,1992,1,490.0
72,72,2,1993,1993,1,498.0
72,72,2,1994,1994,1,505.0
77,77,2,1982,1982,1,158.0
77,77,2,1990,1990,1,149.0
77,77,2,2010,2010,1,334.0
77,77,2,1982,1982,2,10.58
77,77,2,1990,1990,2,7.37
77,77,2,2010,2010,2,17.85
78,78,2,1965,1965,1,17.0
78,78,2,1982,1982,1,144.0
78,78,2,2000,2000,1,151.0
78,78,2,2009,2009,1,244.0
78,78,2,1982,1982,2,8.56
78,78,2,2000,2000,2,10.35
78,78,2,2009,2009,2,15.89
80,80,2,1949,1949,1,0.0
80,80,2,2009,2009,1,21.0
80,80,2,1949,1949,2,0.0
80,80,2,2009,2009,2,1.2
81,81,2,1982,1982,1,167.0
81,81,2,1994,1994,1,180.0
81,81,2,1995,1995,1,185.0
83,83,2,1964,1964,1,1.0
83,83,2,1994,1994,1,11.0
84,84,2,1964,1964,1,7.0
84,84,2,1982,1982,1,18.0
84,84,2,1990,1990,1,289.0
86,86,2,1951,1951,1,15.0
86,86,2,1956,1956,1,40.0
86,86,2,1964,1964,1,89.0
86,86,2,1967,1967,1,195.0
86,86,2,1969,1969,1,210.0
86,86,2,1971,1971,1,235.0
86,86,2,1997,1997,1,260.0
87,87,2,2000,2000,1,111.0
88,88,2,1997,1997,1,168.0
88,88,2,1997,1997,2,5.3
89,89,2,2000,2000,1,651.0
89,89,2,2000,2000,2,15.01
91,91,2,1950,1950,1,3.0
91,91,2,1960,1960,1,12.0
91,91,2,1970,1970,1,30.0
91,91,2,1980,1980,1,87.0
91,91,2,1990,1990,1,165.0
91,91,2,2000,2000,1,228.0
91,91,2,1950,1950,2,0.3
91,91,2,1960,1960,2,0.8
91,91,2,1970,1970,2,1.7
91,91,2,1980,1980,2,4.0
91,91,2,1990,1990,2,7.0
91,91,2,2000,2000,2,9.07
92,92,2,1990,1990,1,243.0
93,93,2,2010,2010,1,540.0
93,93,2,2010,2010,2,20.1
95,95,2,1983,1983,1,47.0
95,95,2,2000,2000,1,59.0
95,95,2,2005,2005,1,86.0
95,95,2,2009,2009,1,95.0
96,96,2,1964,1964,1,3.0
96,96,2,1990,1990,1,55.0
96,96,2,1993,1993,1,59.0
98,98,2,1990,1990,1,119.0
107,107,2,2007,2007,1,54.0
115,115,2,2009,2009,1,240.0
119,119,2,1949,1949,1,3.0
119,119,2,2007,2007,1,157.0
120,120,2,1983,1983,1,13.0
120,120,2,2013,2013,1,5.0
121,121,2,2000,2000,1,301.0
121,121,2,2000,2000,2,18.2
125,125,2,1964,1964,1,7.0
125,125,2,1982,1982,1,17.0
125,125,2,1990,1990,1,13.0
125,125,2,1964,1964,2,1.0
125,125,2,1982,1982,2,2.3
125,125,2,1990,1990,2,1.7
128,128,2,1982,1982,1,7.0
128,128,2,1989,1989,1,20.0
128,128,2,1989,1989,2,3.34
129,129,2,1983,1983,1,201.0
129,129,2,1990,1990,1,306.0
132,132,2,2000,2000,1,122.0
134,134,2,1990,1990,2,6.8
134,134,2,2000,2000,2,6.8
134,134,2,2016,2016,2,7.6
135,135,2,2000,2000,1,176.0
135,135,2,2000,2000,2,3.77
136,136,2,2012,2012,1,228.0
139,139,2,2006,2006,1,92.0
141,141,2,2010,2010,1,3065.0
141,141,2,2010,2010,2,60.0
142,142,2,1996,1996,1,125.0
142,142,2,2009,2009,1,825.0
142,142,2,1996,1996,2,2.9
143,143,2,2016,2016,1,80.0
143,143,2,2016,2016,2,66.7
148,148,2,2010,2010,1,42.0
149,149,2,1990,1990,1,63.0
149,149,2,2000,2000,1,65.0
153,153,2,1985,1985,1,199.0
153,153,2,2000,2000,1,155.0
156,156,2,1990,1990,1,140.0
156,156,2,1990,1990,2,5.02
157,157,2,1990,1990,1,434.0
157,157,2,1990,1990,2,12.74
160,160,2,1964,1964,1,5.0
160,160,2,1982,1982,1,51.0
160,160,2,1986,1986,1,34.0
160,160,2,1990,1990,1,135.0
160,160,2,1996,1996,1,131.0
160,160,2,1999,1999,1,102.0
162,162,2,2006,2006,1,105.0
162,162,2,2006,2006,2,7.37
167,167,2,1990,1990,1,264.0
167,167,2,2000,2000,1,976.0
167,167,2,2010,2010,1,407.0
170,170,2,2000,2000,1,65.0
173,173,2,1982,1982,2,6.2
173,173,2,2008,2008,2,5.8
173,173,2,1982,1982,1,64.0
173,173,2,2008,2008,1,52.0
174,174,2,1964,1964,1,20.0
174,174,2,1982,1982,1,194.0
174,174,2,1990,1990,1,198.0
174,174,2,2000,2000,1,328.0
174,174,2,1964,1964,2,0.86
174,174,2,1982,1982,2,5.78
174,174,2,1990,1990,2,6.47
174,174,2,2000,2000,2,10.18
176,176,2,1964,1964,1,58.0
176,176,2,2015,2015,1,426.0
176,176,2,1964,1964,2,8.0
179,179,2,2002,2002,1,310.0
180,180,2,1969,1969,1,24.0
180,180,2,1981,1981,1,235.0
183,183,2,1982,1982,1,137.0
187,187,2,1998,1998,1,658.0
192,192,2,1949,1949,1,13.0
192,192,2,2001,2001,1,659.0
192,192,2,1949,1949,2,0.1
192,192,2,2001,2001,2,12.7
193,193,2,1990,1990,1,208.0
193,193,2,2000,2000,1,299.0
193,193,2,1990,1990,2,6.19
193,193,2,2000,2000,2,9.0
195,195,2,2008,2008,1,199.0
197,197,2,2010,2010,1,210.0
201,201,2,1982,1982,1,38.0
201,201,2,1990,1990,1,42.0
201,201,2,2000,2000,1,438.0
201,201,2,2010,2010,1,1485.0
201,201,2,1982,1982,2,4.61
201,201,2,1990,1990,2,4.94
201,201,2,2000,2000,2,8.32
201,201,2,2010,2010,2,14.28
204,204,2,1964,1964,1,10.0
204,204,2,1982,1982,1,79.0
204,204,2,1990,1990,1,100.0
204,204,2,1964,1964,2,0.41
204,204,2,1982,1982,2,2.35
204,204,2,1990,1990,2,2.77
207,207,2,1982,1982,1,21.0
207,207,2,1990,1990,1,40.0
207,207,2,2011,2011,1,54.0
208,208,2,1982,1982,1,127.0
208,208,2,1990,1990,1,231.0
208,208,2,2000,2000,1,490.0
208,208,2,2010,2010,1,551.0
209,209,2,1965,1965,1,10.0
209,209,2,1978,1978,1,68.0
209,209,2,1990,1990,1,36.0
210,210,2,1964,1964,1,19.0
210,210,2,1990,1990,1,167.0
214,214,2,2011,2011,1,223.0
215,215,2,1982,1982,1,119.0
215,215,2,2001,2001,1,225.0
215,215,2,1982,1982,2,2.42
215,215,2,2001,2001,2,3.95
216,216,2,2010,2010,1,207.0
219,219,2,2009,2009,1,241.0
219,219,2,2009,2009,2,9.85
220,220,2,1958,1958,1,0.0
220,220,2,1978,1978,1,0.0
220,220,2,1989,1989,1,3.0
220,220,2,1999,1999,1,16.0
220,220,2,2008,2008,1,27.0
220,220,2,2010,2010,1,32.0
220,220,2,2010,2010,2,1.5
221,221,2,2003,2003,1,235.0
221,221,2,2011,2011,1,389.0
221,221,2,2003,2003,2,7.7
221,221,2,2011,2011,2,12.5
223,223,2,1964,1964,1,2.0
223,223,2,2008,2008,1,35.0
229,229,2,1964,1964,1,8.0
229,229,2,1982,1982,1,145.0
229,229,2,2007,2007,1,1272.0
229,229,2,2007,2007,2,27.28
232,232,2,2007,2007,1,67.0
233,233,2,2004,2004,1,1041.0
233,233,2,2004,2004,2,24.13
235,235,2,1978,1978,1,146.0
235,235,2,2010,2010,1,299.0
239,239,2,2013,2013,1,150.0
242,242,2,1982,1982,1,121.0
242,242,2,1990,1990,1,140.0
242,242,2,2000,2000,1,406.0
242,242,2,2010,2010,1,545.0
242,242,2,1982,1982,2,4.31
242,242,2,1990,1990,2,4.55
242,242,2,2000,2000,2,13.32
242,242,2,2010,2010,2,17.64
